 3  0  3 IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
10  7  3 BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH H99 B98 I98 J98 E98 K99 G5 
10  7  3 ..BBCC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH I98 H99 D99 J98 E98 K99 G5 
10  7  3 .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH H99 I99 B99 J98 E98 K99 G5 
10  7  3 BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH B98 J99 I99 H99 E98 K99 G5 
10  7  3 BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH. C99 B98 J99 I98 E98 K99 G5 
10  7  3 BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGKHH. C99 B98 I99 J99 E98 K99 G5 
10  7  3 BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH. C99 B98 J98 I99 E98 K99 G5 
10  7  3 BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGKHH. C98 B98 J98 I99 E98 K99 G5 
10  7  3 BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGKHH. C98 B98 J99 I98 E98 K99 G5 
10  7  3 .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH B99 I98 J99 H99 E98 K99 G5 
10  7  3 .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGKHH. I98 C99 B99 J98 E98 K99 G5 
11  8  3 .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH C99 B99 J99 I99 H99 E98 K99 G5 
11  8  3 .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH. C99 B99 D98 I98 J98 E98 K99 G5 
11  8  3 BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH H99 B98 D99 I98 J98 E98 K99 G5 
11  8  3 BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH. C99 B98 I99 D99 J98 E98 K99 G5 
11  8  3 BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGKHH. C98 B98 I99 D99 J98 E98 K99 G5 
11  8  3 .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH I98 H99 C99 B99 J99 E98 K99 G5 
11  8  3 BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH B98 H99 D98 I98 J98 E98 K99 G5 
11  8  3 BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGK.HH C98 B98 I98 J99 H99 E98 K99 G5 
11  8  3 .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH I99 H99 C99 B99 J98 E98 K99 G5 
